time,x,y,theta_rad,ps0,ps7,ps5,ps2,ps1,ps3,ps4,ps6,z_k_raw,d_k_kalman,estado
2.56,0.0253,-0.0411,-2.1762,64.23016064158219,71.11838989277229,63.30180169528046,67.52909671856949,60.94483766434069,64.87301974221579,64.01674909725796,68.95145196183556,67.67,68.48,AVANZANDO_RECTO
2.592,0.0242,-0.0427,-2.1787,59.832674288544,69.13723735200934,67.25067607222178,68.65989640597608,65.21559647380757,65.67348588467077,66.47263736958371,66.0736485378678,64.48,68.16,AVANZANDO_RECTO
2.624,0.0231,-0.0443,-2.1787,65.77550385139455,71.92590419699032,70.09581681119757,71.74454809069448,67.62566862489057,66.50309937159761,68.81334082833966,68.68249673997438,68.85,68.21,AVANZANDO_RECTO
2.656,0.0219,-0.0459,-2.1762,69.29070547317664,70.30367564669554,74.52529467645148,61.10606307275764,67.82640189663165,70.52757233351589,61.78794035811536,66.11525680792732,69.8,68.34,AVANZANDO_RECTO
2.688,0.0208,-0.0475,-2.1762,67.93520466652288,69.7482531874856,67.27249393096105,63.89527605199901,63.874942387277464,60.213860911734294,67.62909426605397,66.37628189975928,68.84,68.37,AVANZANDO_RECTO
2.72,0.0197,-0.0492,-2.1787,62.878848063033566,70.9829678040987,69.20899996018754,64.4500292650124,63.762372621254116,68.47988494715736,72.43247894195552,63.286353989616586,66.93,68.26,AVANZANDO_RECTO
2.752,0.0186,-0.0508,-2.1787,63.31035688223175,66.82993731702197,70.18000978295682,66.38223171279223,62.740252396378445,64.80726188489373,66.05301770713002,66.36927716369051,65.07,68.01,AVANZANDO_RECTO
2.784,0.0175,-0.0524,-2.1762,70.49219948433083,69.84881064336533,67.22893714620433,68.6726784057722,66.67496626675727,70.68899513341692,68.3329119109219,70.0976197174393,70.17,68.18,AVANZANDO_RECTO
2.816,0.0163,-0.054,-2.1787,65.58070426648344,68.93950300486259,62.422318179642005,67.22930776766849,65.83258856588044,66.85372686454865,67.55419553052594,69.9599184576023,67.26,68.1,AVANZANDO_RECTO
2.848,0.0152,-0.0556,-2.1787,61.34995364993642,70.25356921721892,72.05188309268505,64.65956289011514,75.1080412055731,67.9389033685268,66.88847867335912,59.60214650989582,65.8,67.92,AVANZANDO_RECTO
2.88,0.0141,-0.0572,-2.1787,68.00648819466039,75.58912269614915,67.21435338711771,71.44573621646286,81.48098061696729,66.48454298724215,61.05451762052415,66.10287083663094,71.8,68.22,AVANZANDO_RECTO
2.912,0.013,-0.0588,-2.1762,69.59578310628815,68.4556110702302,64.86973621605188,62.03898654607213,88.40210883894166,69.96014874814706,69.91814019730457,67.46894585399006,69.03,68.28,AVANZANDO_RECTO
